Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
J_01_110,confused_1,5.100,4.320,0,2
J_02_067,confused_2,4.633,3.167,0,2
B_02_022,congratulations,4.800,5.500,5,5
E_03_60,connection,3.793,4.310,6,5
J_01_101,consume,4.500,3.760,0,2
D_03_022,contact,5.462,4.182,6,5
E_02_74,contact_lens,3.438,4.267,7,2
D_03_032,continue,4.615,2.742,7,5
G_01_48,convince,4.926,1.667,7,3
H_03_13,convince_2,4.036,2.292,7,5
D_03_078,cook,6.077,3.120,7,1
B_03_008,cookie,4.960,3.267,6,4
F_01_14,cool_1,6.037,2.818,2,2
G_03_45,cool_2,5.077,4.300,2,5
H_03_99,cool_3,4.296,2.833,2,2
H_03_32,cool_4,5.393,1.792,2,2
J_01_004,cool_5,4.433,4.120,0,5
E_01_10,cooperate,5.143,2.846,7,5
D_01_064,copy,4.630,2.114,7,3
D_01_053,corkscrew,2.850,5.135,6,1
K_01_085,CORKSCREW_2,0,0,0,3
A_02_084,corn_1,4.185,4.100,6,2
C_02_026,corn_2,2.000,3.692,6,5
K_02_078,CORN_3,0,0,0,5
J_03_071,corner,4.103,4.818,0,5
J_02_040,"correct(grade,criticize)",4.600,3.333,0,3
E_03_20,cost,5.138,2.438,6,3
G_02_13,couch_1,2.591,2.656,6,5
C_02_071,cough,3.500,4.815,6,2
B_01_005,counselor,4.840,1.889,6,3
G_02_54,count,4.556,2.500,7,3
C_03_058,country,3.900,1.028,6,2
C_01_023,cousin,4.133,1.233,6,2
C_03_038,cover_up,3.429,2.889,7,1
A_01_033,cow,3.677,2.778,6,2
F_01_18,cowboy,1.278,1.788,6,5
F_03_67,crack,3.926,3.774,7,1
C_01_081,cracker,3.867,1.267,6,2
K_03_093,CRACKER_2,0,0,0,2
H_02_104,CRANKY,5.143,3.417,2,2
J_02_017,crash,3.900,4.750,0,3
K_01_034,CRASH_PLANE,0,0,0,3
D_01_068,crawl,2.296,2.914,7,3
K_02_088,CRAWL_2,0,0,0,5
D_03_040,crazy,2.962,6.360,2,2
F_02_10,cream,4.407,1.806,6,3
